"module","module_content_number","multi_omics_num","include_genes","genes","include_metabolites","metabolites","include_pathways","pathways"
"Functional_module_258",1,1,TRUE,"EOGT",FALSE,NA,FALSE,NA
"Functional_module_259",1,1,TRUE,"EPB41L3",FALSE,NA,FALSE,NA
"Functional_module_26",1,1,TRUE,"ALDH1A1",FALSE,NA,FALSE,NA
"Functional_module_260",1,1,TRUE,"EPB41L5",FALSE,NA,FALSE,NA
"Functional_module_261",1,1,TRUE,"ERCC8",FALSE,NA,FALSE,NA
"Functional_module_262",1,1,TRUE,"ERG28",FALSE,NA,FALSE,NA
"Functional_module_263",1,1,TRUE,"ERGIC3",FALSE,NA,FALSE,NA
"Functional_module_264",1,1,TRUE,"ESPN",FALSE,NA,FALSE,NA
"Functional_module_265",1,1,TRUE,"ETV7",FALSE,NA,FALSE,NA
"Functional_module_266",1,1,TRUE,"EVA1A",FALSE,NA,FALSE,NA
"Functional_module_267",1,1,TRUE,"EXD3",FALSE,NA,FALSE,NA
"Functional_module_268",1,1,TRUE,"EXOC7",FALSE,NA,FALSE,NA
"Functional_module_269",1,1,TRUE,"EXTL1",FALSE,NA,FALSE,NA
"Functional_module_27",10,2,TRUE,"ALOX15/ALOX5AP/PISD/PLA1A/PLAAT3/PLD1/PLD3",TRUE,"C00416/C06426/C06428",FALSE,NA
"Functional_module_270",1,1,TRUE,"EXTL3",FALSE,NA,FALSE,NA
"Functional_module_271",1,1,TRUE,"FAM189A1",FALSE,NA,FALSE,NA
"Functional_module_272",1,1,TRUE,"FAM234A",FALSE,NA,FALSE,NA
"Functional_module_273",1,1,TRUE,"FAM50B",FALSE,NA,FALSE,NA
"Functional_module_274",1,1,TRUE,"FAM83G",FALSE,NA,FALSE,NA
"Functional_module_275",1,1,TRUE,"FARP1",FALSE,NA,FALSE,NA
"Functional_module_276",1,1,TRUE,"FBLIM1",FALSE,NA,FALSE,NA
"Functional_module_277",1,1,TRUE,"FBXL15",FALSE,NA,FALSE,NA
"Functional_module_278",1,1,TRUE,"FBXL6",FALSE,NA,FALSE,NA
"Functional_module_279",1,1,TRUE,"FBXO41",FALSE,NA,FALSE,NA
"Functional_module_28",25,1,TRUE,"ALOX5/APCS/B4GALT1/C3/C5/C8A/C9/DGKZ/DMTN/ENPP4/F13A1/F2/HBB/HMOX1/MASP2/PF4/PRDX2/RAF1/RAP2B/SELP/SERPINA1/SERPING1/SLC4A1/TMEM97/VTN",FALSE,NA,FALSE,NA
"Functional_module_280",1,1,TRUE,"FBXO44",FALSE,NA,FALSE,NA
"Functional_module_281",1,1,TRUE,"FBXO6",FALSE,NA,FALSE,NA
"Functional_module_282",1,1,TRUE,"FCRL6",FALSE,NA,FALSE,NA
"Functional_module_283",1,1,TRUE,"FHAD1",FALSE,NA,FALSE,NA
"Functional_module_284",1,1,TRUE,"FHOD1",FALSE,NA,FALSE,NA
"Functional_module_285",1,1,TRUE,"FIBP",FALSE,NA,FALSE,NA
"Functional_module_286",1,1,TRUE,"FLOT1",FALSE,NA,FALSE,NA
"Functional_module_287",1,1,TRUE,"FLYWCH1",FALSE,NA,FALSE,NA
"Functional_module_288",1,1,TRUE,"FMN1",FALSE,NA,FALSE,NA
"Functional_module_289",1,1,TRUE,"FMN2",FALSE,NA,FALSE,NA
"Functional_module_29",1,1,TRUE,"AMIGO3",FALSE,NA,FALSE,NA
"Functional_module_290",1,1,TRUE,"FMO3",FALSE,NA,FALSE,NA
"Functional_module_291",1,1,TRUE,"FN3K",FALSE,NA,FALSE,NA
"Functional_module_292",1,1,TRUE,"FNDC4",FALSE,NA,FALSE,NA
"Functional_module_293",1,1,TRUE,"FOXD1",FALSE,NA,FALSE,NA
"Functional_module_294",1,1,TRUE,"FRAS1",FALSE,NA,FALSE,NA
"Functional_module_295",1,1,TRUE,"FRMD5",FALSE,NA,FALSE,NA
"Functional_module_296",1,1,TRUE,"FRY",FALSE,NA,FALSE,NA
"Functional_module_297",1,1,TRUE,"FUZ",FALSE,NA,FALSE,NA
"Functional_module_298",1,1,TRUE,"FYN",FALSE,NA,FALSE,NA
"Functional_module_299",1,1,TRUE,"FZD7",FALSE,NA,FALSE,NA
"Functional_module_3",1,1,TRUE,"ABHD16A",FALSE,NA,FALSE,NA
"Functional_module_30",1,1,TRUE,"ANAPC13",FALSE,NA,FALSE,NA
"Functional_module_300",4,1,TRUE,"G6PD/NADK/PGD/TALDO1",FALSE,NA,FALSE,NA
"Functional_module_301",1,1,TRUE,"GABRD",FALSE,NA,FALSE,NA
"Functional_module_302",1,1,TRUE,"GADD45A",FALSE,NA,FALSE,NA
"Functional_module_303",1,1,TRUE,"GALK2",FALSE,NA,FALSE,NA
"Functional_module_304",2,1,TRUE,"GALNT16/GALNT3",FALSE,NA,FALSE,NA
"Functional_module_305",1,1,TRUE,"GAMT",FALSE,NA,FALSE,NA
"Functional_module_306",1,1,TRUE,"GAS2L1",FALSE,NA,FALSE,NA
"Functional_module_307",1,1,TRUE,"GAS6",FALSE,NA,FALSE,NA
"Functional_module_308",1,1,TRUE,"GAS7",FALSE,NA,FALSE,NA
"Functional_module_309",1,1,TRUE,"GAS8",FALSE,NA,FALSE,NA
"Functional_module_31",5,1,TRUE,"ANK1/EPB42/RHCE/SPTA1/SPTB",FALSE,NA,FALSE,NA
"Functional_module_310",1,1,TRUE,"GBP2",FALSE,NA,FALSE,NA
"Functional_module_311",1,1,TRUE,"GCLC",FALSE,NA,FALSE,NA
"Functional_module_312",1,1,TRUE,"GCNT1",FALSE,NA,FALSE,NA
"Functional_module_313",1,1,TRUE,"GET4",FALSE,NA,FALSE,NA
"Functional_module_314",1,1,TRUE,"GFI1",FALSE,NA,FALSE,NA
"Functional_module_315",3,1,TRUE,"GGA1/GRN/NTRK2",FALSE,NA,FALSE,NA
"Functional_module_316",1,1,TRUE,"GHDC",FALSE,NA,FALSE,NA
"Functional_module_317",1,1,TRUE,"GIGYF1",FALSE,NA,FALSE,NA
"Functional_module_318",1,1,TRUE,"GIMAP4",FALSE,NA,FALSE,NA
"Functional_module_319",1,1,TRUE,"GIPC1",FALSE,NA,FALSE,NA
"Functional_module_32",1,1,TRUE,"ANKRD22",FALSE,NA,FALSE,NA
"Functional_module_320",1,1,TRUE,"GIPC2",FALSE,NA,FALSE,NA
"Functional_module_321",1,1,TRUE,"GJD3",FALSE,NA,FALSE,NA
